FIPS,"Life expectancy, 2014",PlaceName
04009,77.52,Graham County | AZ
04011,78.25,Greenlee County | AZ
04012,80.68,La Paz County | AZ
04013,80.06,Maricopa County | AZ
04015,75.71,Mohave County | AZ
04017,75.71,Navajo County | AZ
04019,79.46,Pima County | AZ
04021,80.17,Pinal County | AZ
04023,81.97,Santa Cruz County | AZ
04025,79.02,Yavapai County | AZ
04027,80.68,Yuma County | AZ
05001,74.57,Arkansas County | AR
05003,74.72,Ashley County | AR
05005,76.94,Baxter County | AR
05007,79.39,Benton County | AR
05009,77.22,Boone County | AR
05011,74.49,Bradley County | AR
05013,75.71,Calhoun County | AR
05015,77.97,Carroll County | AR
05017,73.35,Chicot County | AR
05019,75.9,Clark County | AR
05021,74.77,Clay County | AR
05023,77.43,Cleburne County | AR
05025,76.09,Cleveland County | AR
05027,74.65,Columbia County | AR
05029,76.13,Conway County | AR
05031,76.04,Craighead County | AR
05033,75.97,Crawford County | AR
05035,72.31,Crittenden County | AR
05037,73.87,Cross County | AR
05039,74.44,Dallas County | AR
05041,73.83,Desha County | AR
05043,75.69,Drew County | AR
05045,77.23,Faulkner County | AR
05047,75.51,Franklin County | AR
05049,76.31,Fulton County | AR
05051,75.66,Garland County | AR
05053,75.93,Grant County | AR
05055,75.06,Greene County | AR
05057,75.08,Hempstead County | AR
05059,75.61,Hot Spring County | AR
05061,74.84,Howard County | AR
05063,75.69,Independence County | AR
05065,75.92,Izard County | AR
05067,73.76,Jackson County | AR
05069,74.18,Jefferson County | AR
05071,76.48,Johnson County | AR
05073,74.14,Lafayette County | AR
05075,74.83,Lawrence County | AR
05077,73.71,Lee County | AR
05079,76.27,Lincoln County | AR
05081,74.98,Little River County | AR
05083,75.6,Logan County | AR
05085,75.86,Lonoke County | AR
05087,76.42,Madison County | AR
05089,76.57,Marion County | AR
05091,75.69,Miller County | AR
05093,72.66,Mississippi County | AR
05095,73.72,Monroe County | AR
05097,77.1,Montgomery County | AR
05099,74.72,Nevada County | AR
05101,77.56,Newton County | AR
05103,73.37,Ouachita County | AR
05105,75.51,Perry County | AR
05107,71.28,Phillips County | AR
05109,75.73,Pike County | AR
05111,72.14,Poinsett County | AR
05113,75.6,Polk County | AR
05115,76.81,Pope County | AR
05117,76.1,Prairie County | AR
05119,76.48,Pulaski County | AR
05121,76.05,Randolph County | AR
05123,73.57,St. Francis County | AR
05125,77.91,Saline County | AR
05127,75.91,Scott County | AR
05129,76.28,Searcy County | AR
05131,76.19,Sebastian County | AR
05133,75.25,Sevier County | AR
05135,75.4,Sharp County | AR
05137,76.64,Stone County | AR
05139,73.64,Union County | AR
05141,77.1,Van Buren County | AR
05143,78.11,Washington County | AR
05145,75.87,White County | AR
05147,73.26,Woodruff County | AR
05149,75.48,Yell County | AR
06001,81.46,Alameda County | CA
06003,79.06,Alpine County | CA
06005,79.8,Amador County | CA
06007,78.24,Butte County | CA
06009,79.84,Calaveras County | CA
06011,80.19,Colusa County | CA
06013,81.39,Contra Costa County | CA
06015,76.38,Del Norte County | CA
